Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15
sn1997cn-19970609.21-fast.flm,8.97,1997cn,21.744689221086333,0.7867820613690009,0.0168,1.9,91bg,1.9
sn1999by-19990513.18-fast.flm,162.82,1999by,1.9756535621664353,0.4989024146876871,0.0022,1.97,91bg,1.97
sn2007F-20070126.43-fast.flm,72.99,2007F,2.9601406799519694,0.0,0.0236,0.96,N,0.96
sn2004at-20040323.24-fast.flm,84.06,2004at,-4.65616746552092,0.7825491538687275,0.0223,1.05,N,1.05
sn2003hu-20031002.13-fast.flm,9.26,2003hu,12.120930232557058,1.9534883720930232,0.075,,91T,
sn2001V-20010427.35-fast.flm,27.36,2001V,52.75342330804418,0.3940498473056842,0.0151,0.82,91T,0.82
sn1994D-19940503.25-fast.flm,58.41,1994D,42.626383487885136,0.0997108385681523,0.0029,1.37,N,1.37
sn2001N-20010201.37-fast.flm,50.78,2001N,10.35259549461284,0.0,0.021,,HV,
sn2004as-20040422.33-fast.flm,7.99,2004as,30.969932104752953,0.5819592628516004,0.031,0.92,N,0.92
sn1998es-19981121.23-fast.flm,204.88,1998es,-4.42311498119324,0.8905600633287157,0.0106,0.85,91T,0.85
sn2001cp-20010627.26-fast.flm,64.79,2001cp,-1.1150234741778344,0.0978090766823161,0.0224,0.88,N,0.88
sn1999ac-19990312.53-fast.flm,155.11,1999ac,-0.9608717186737632,0.6934125804853887,0.0095,1.23,91T,1.23
sn1998V-19980319.51-fast.flm,81.39,1998V,0.3046982504471669,0.7863180656575585,0.0174,0.99,N,0.99
sn1998bu-19980621.16-fast.flm,178.65,1998bu,32.366138199228644,0.4985541928407618,0.0029,1.03,N,1.03
sn2006ax-20060324.30-fast.flm,62.51,2006ax,-8.360381626831908,0.2950722927117143,0.0167,1.06,N,1.06
sn2007ki-20071006.50-fast.flm,12.53,2007ki,,,0.0167,,,
sn2005cf-20050607.23-fast.flm,225.31,2005cf,-5.434674614996411,0.1987083954297069,0.0065,1.1,N,1.1
snf20080522-000-20080626.05-ldss3.flm,50.46,snf20080522-000,20.622009569380776,0.0956937799043062,0.045,,91T,
sn2000cf-20000523.31-fast.flm,23.01,2000cf,14.482825164024277,0.7719027402547279,0.0364,1.16,N,1.16
sn2003fd-20030630.24-fast.flm,3.67,2003fd,,,0.0597,,,
sn2002cd-20020411.48-fast.flm,48.29,2002cd,-7.640538400627364,0.3958828186856691,0.0104,0.84,HV,0.84
sn2002eu-20020910.40-fast.flm,16.58,2002eu,7.806476484192891,0.1927525057825751,0.0376,1.52,N,1.52
sn2007fb-20070719.48-fast.flm,30.21,2007fb,13.536345776037438,0.2946954813359528,0.018,,N,
sn2006hb-20061022.39-fast.flm,29.16,2006hb,30.32601201615372,0.3939722249581404,0.0153,1.44,91bg,1.44
sn2002av-20020213.19-fast.flm,18.53,2002av,,,0.049,,,
sn2006cf-20060519.25-fast.flm,44.53,2006cf,1.7761136712735643,0.1920122887864823,0.0416,,N,
sn1995ac-19950929.27-fast.flm,32.58,1995ac,-3.6479664729990913,0.4762358319839984,0.0499,0.77,,0.77
