Filename,MJD,Chi2_red,t0,t0_err_up,t0_err_down,x1,x1_err_up,x1_err_down,c,c_err_up,c_err_down,phase_true,phase_est,phase_est_err_up,phase_est_err_down
sn1994D-19940310.36-mmt.flm,49421.36,19.938288636392443,49439.72007295198,0.11534319890051847,0.09656037772947457,0.02597763551979737,0.012815402552690092,0.012378007195492237,-0.010756497746087779,0.005291320748601217,0.00503132588487646,-11.107787416491593,-18.306982702145927,0.09628116235863454,0.11500967085503887
sn1994D-19940311.41-fast.flm,49422.41,1.6172784580542565,49431.47345129754,0.061895990824268665,0.05957476842741016,-0.8871771769838814,0.016218428219067604,0.015555033429004217,-0.016800633375852192,0.0019213705799867708,0.002204253133694989,-10.060823611523091,-9.037243291990768,0.05940250117400555,0.06171701149094493
sn1994D-19940313.31-fast.flm,49424.31,1.70598726090485,49431.962392104244,0.09124358382541686,0.06772309367806884,-0.5347877768313172,0.02208069009553837,0.02337487956805573,0.0857570023590189,0.0022143506398834556,0.0023009532088594242,-8.166317678734,-7.630264337667013,0.06752726461069782,0.09097974257195819
sn1994D-19940315.36-mmt.flm,49426.36,3.4036500640010767,49431.06144189309,0.10439324634353397,0.10314690927043557,-0.026571563169661694,0.040357389633280505,0.04673707230546917,-0.2355665588638267,0.003331582905198499,0.003725446508621555,-6.122245488083975,-4.687847136396575,0.1028486481906826,0.10409138133765479
sn1994D-19940316.37-fast.flm,49427.37,1.103511074292705,49432.13180404372,0.04831992414256092,0.04648074354190612,-0.4637567954935884,0.01840387070041699,0.018925971660288976,0.03567064991275554,0.0015936178926701516,0.0013647958899963702,-5.115166018543604,-4.748034742960942,0.04634633915834692,0.048180201558042604
sn1994D-19940317.35-fast.flm,49428.35,0.9556640740730459,49432.55317799712,0.04057358573481906,0.039965045543794986,-0.4855067579312715,0.01758308503064221,0.01676125268186901,0.009332594872210775,0.001634599508046064,0.0014545853805982278,-4.137999800579775,-4.191024027442529,0.03984948204586199,0.040456262573356334
sn1994D-19940318.36-fast.flm,49429.36,1.044453119443064,49432.45827123604,0.035285964760987554,0.03652155792224221,-0.45414207824721764,0.020740449741601552,0.018747648544914952,-0.001534031470043995,0.0015897164443783307,0.0017110194206212959,-3.130920331039404,-3.089312230573248,0.03641595166242119,0.035183931360043434
sn1994D-19940321.35-fast.flm,49432.35,1.817414838793927,49433.095342351604,0.07132554618874565,0.07226041085959878,-0.4699931344754522,0.02829259121127148,0.0324162866857276,0.04787149128683288,0.0019123831368529909,0.001675292656533045,-0.14956625785367952,-0.7431871089892901,0.07205146162089818,0.07111930021811312
sn1994D-19940401.28-fast.flm,49443.28,2.3564820602611336,49430.55044732844,0.06571687642281177,0.0723223460445297,0.15236532576248507,0.03696447579421355,0.04246191438778002,-0.07913579337176241,0.003608722364881134,0.0029926937145710597,10.748828397645665,12.692743714787785,0.07211321771316154,0.06552684856198203
sn1994D-19940403.36-fast.flm,49445.36,2.669872732668518,49431.701758372066,0.08349775117676472,0.10272260550118517,-0.2154866825599604,0.05359063077289106,0.05336864711341516,-0.01398888902855644,0.004083029702907526,0.003828575324121619,12.822813839864974,13.618747260877786,0.10242557134428674,0.08325630788390141
