Spectrum,Weighted_Mean_Age,Bootstrap_Uncertainty
sn1998dm-19980923.39-fast_snid,24.02,0.70
sn2008Q-20080209.09-fast_snid,-1.35,0.16
sn2000cx-20000921.42-fast_snid,39.13,1.45
sn1997do-19971125.38-fast_snid,12.25,0.22
sn2003W-20030209.35-fast_snid,-0.42,0.17
sn2000fa-20001230.43-fast_snid,18.97,0.64
sn1998eg-19981111.16-fast_snid,27.71,0.81
sn1999cf-19990605.21-fast_snid,-0.37,0.17
sn1995al-19951222.47-fast_snid,37.18,0.60
sn2006ac-20060302.48-fast_snid,20.95,0.60
sn2006lf-20061214.28-fast_snid,32.11,0.45
sn2003W-20030310.28-fast_snid,32.47,0.46
sn2000A-20000103.08-fast_snid,-0.60,0.15
sn2006X-20060403.36-fast_snid,36.65,0.91
sn2006H-20060202.11-fast_snid,26.40,0.42
sn2006ac-20060309.33-fast_snid,31.01,0.55
sn2001da-20010714.46-fast_snid,-1.40,0.17
sn1999dq-19990908.48-fast_snid,-5.06,0.32
sn2003cq-20030407.36-fast_snid,-1.35,0.17
sn2006cp-20060530.25-fast_snid,-2.86,0.20
sn2006le-20061123.36-fast_snid,18.21,0.79
sn2003eh-20030521.18-fast_snid,0.17,0.22
sn2006gr-20061029.23-fast_snid,29.00,0.55
sn2005ki-20051202.52-fast_snid,-1.13,0.16
sn2000bk-20000510.19-fast_snid,30.23,0.33
sn1995al-19951203.40-mmt_snid,32.55,0.60
sn2007cc-20070509.28-fast_snid,22.35,0.91
sn2005hk-20051108.20-fast_snid,0.40,0.96
sn1995bd-19951223.34-fast_snid,-7.51,0.31
sn2001ec-20010912.45-fast_snid,18.89,0.88
sn1997bq-19970429.17-fast_snid,11.17,0.24
sn1996Z-19960518.18-fast_snid,1.63,0.19
sn2000cn-20000704.32-fast_snid,29.15,0.36
sn2003ae-20030206.30-fast_snid,4.81,0.26
sn1999cl-19990614.18-fast_snid,0.40,0.20
sn1999ef-19991014.31-fast_snid,5.67,0.21
sn2002ey-20020906.32-fast_snid,-0.77,0.17
sn2000fa-20010121.36-fast_snid,34.72,0.51
sn2003iu-20031028.35-fast_snid,21.13,1.05
sn2000cx-20001230.10-fast_snid,186.06,11.66
sn1997bq-19970408.14-mmt_snid,-3.17,0.19
sn2006X-20060309.30-fast_snid,19.30,0.56
sn2005eq-20051002.51-fast_snid,-5.69,0.31
sn2007af-20070408.32-fast_snid,32.09,0.42
sn2004L-20040218.33-fast_snid,29.94,0.41
sn1996ca-19961217.10-fast_snid,-0.62,0.16
sn2006cj-20060602.21-fast_snid,3.22,0.27
sn2003W-20030129.35-mmt_snid,-7.30,0.33
sn2001ah-20010426.30-mmt_snid,27.06,0.77
sn2008ar-20080301.39-fast_snid,-2.89,0.20
sn2005cf-20050602.24-fast_snid,-2.03,0.19
sn1998aq-19980502.23-fast_snid,-1.08,0.15
sn2001ay-20010424.32-fast_snid,-1.18,0.29
sn2007S-20070419.30-fast_snid,29.69,1.57
sn1998aq-19981124.54-fast_snid,237.65,11.83
sn2008A-20080113.13-fast_snid,2.65,0.94
sn1998D-19980321.50-fast_snid,41.98,0.86
sn2002hv-20021109.49-fast_snid,35.30,0.52
sn2007co-20070615.36-fast_snid,-0.73,0.16
sn2007af-20070312.44-fast_snid,-1.60,0.16
sn1998ab-19980601.22-fast_snid,31.61,0.46
sn2006le-20061112.40-fast_snid,-0.83,0.17
sn2002bs-20020407.33-fast_snid,19.84,0.67
sn2005kc-20051130.11-fast_snid,3.53,0.17
sn2005cf-20050608.25-fast_snid,-3.17,0.23
sn2006al-20060303.35-fast_snid,8.08,0.59
sn2006N-20060203.21-fast_snid,8.61,0.45
sn2002dk-20020615.35-fast_snid,-0.17,0.39
sn2001V-20010523.16-fast_snid,42.65,1.27
sn2005lz-20051227.29-fast_snid,-2.03,0.16
sn2005G-20050118.56-fast_snid,29.41,1.89
sn2003W-20030210.35-fast_snid,-0.12,0.19
sn2005M-20050214.29-fast_snid,7.03,0.73
sn1994T-19940612.25-mmt_snid,4.59,0.30
sn1995Y-19950924.37-fast_snid,35.35,0.57
sn1998aq-19980428.26-fast_snid,-1.92,0.15
sn2000cx-20000726.48-fast_snid,-3.52,0.41
sn1994M-19940509.23-fast_snid,1.30,0.17
sn2001ay-20010525.34-mmt_snid,30.42,0.39
sn2002bz-20020420.42-fast_snid,27.88,0.61
sn1995D-19950331.17-mmt_snid,33.79,0.44
sn2002hd-20021029.52-fast_snid,0.52,0.17
sn1994D-19940602.18-fast_snid,74.84,2.33
sn1999dq-19991003.45-fast_snid,24.02,0.68
sn2001ib-20011214.12-fast_snid,5.64,0.18
sn1994D-19940604.22-fast_snid,64.64,2.43
sn2007qe-20071115.28-fast_snid,-3.60,0.19
sn2006gr-20060930.30-fast_snid,-1.72,0.20
sn2003hx-20031121.30-ldss2_snid,43.48,1.93
sn2006oa-20061121.09-fast_snid,-4.06,0.28
sn1999aa-19990516.17-fast_snid,48.05,1.57
sn2007bj-20070523.33-fast_snid,36.01,0.70
snf20080514-002-20080603.16-fast_snid,3.30,0.18
sn1998es-19990207.13-fast_snid,40.50,1.04
sn2005am-20050313.21-fast_snid,2.56,0.20
sn2006cp-20060531.25-fast_snid,-2.47,0.18
sn2007co-20070625.40-fast_snid,13.90,0.36
sn2000ce-20000523.14-fast_snid,24.56,0.63
sn2006hb-20061015.47-fast_snid,28.57,0.39
sn2007nq-20071103.20-fast_snid,11.11,0.27
sn2000cn-20000625.36-fast_snid,27.30,0.52
sn2007hj-20070907.32-fast_snid,-0.36,0.17
sn2007ca-20070611.18-fast_snid,33.56,0.45
sn1994ae-19941129.51-fast_snid,-1.15,0.17
snf20080522-000-20080623.04-ldss3_snid,23.10,0.79
sn2007fs-20070902.29-fast_snid,37.14,0.65
sn2001G-20010201.39-fast_snid,11.96,0.40
sn1994D-19940403.36-fast_snid,22.29,0.79
sn2008bf-20080511.20-fast_snid,34.87,0.45
sn1999ek-19991109.42-fast_snid,10.83,0.26
sn2004L-20040301.31-fast_snid,21.44,1.08
sn2003if-20030922.45-fast_snid,106.71,3.47
sn1998aq-19980629.17-fast_snid,47.16,1.03
snf20080522-011-20080606.35-mmt_snid,0.53,0.15
sn2008R-20080202.13-fast_snid,1.93,0.17
sn2003fa-20030608.29-fast_snid,-3.90,0.35
sn2000cx-20001130.23-fast_snid,168.57,11.86
snf20080514-002-20080530.22-fast_snid,-0.61,0.16
sn1999by-19990515.16-fast_snid,5.04,1.06
sn2007fb-20070902.32-fast_snid,42.11,1.00
sn1998dk-19981015.33-fast_snid,35.80,0.55
sn2001ck-20010618.33-mmt_snid,0.82,0.15
sn2000cf-20000525.35-fast_snid,27.27,0.67
sn2001cj-20010619.26-mmt_snid,20.35,0.71
sn2000cf-20000523.31-fast_snid,25.31,0.68
sn2006eu-20060916.17-fast_snid,22.91,0.62
sn2006S-20060204.47-fast_snid,-1.34,0.17
sn2006ak-20060221.33-fast_snid,1.97,0.19
sn2003ch-20030428.15-fast_snid,31.16,0.38
sn2004as-20040329.23-fast_snid,7.73,0.24
sn2007co-20070610.39-fast_snid,-1.90,0.16
sn1998aq-19980429.26-fast_snid,-1.72,0.16
sn2007kk-20071018.40-fast_snid,5.75,0.23
sn1997do-19971204.33-fast_snid,24.30,0.57
sn2001ep-20011224.33-fast_snid,43.87,0.90
sn2002bf-20020306.22-fast_snid,-0.08,0.20
sn1998es-19990214.12-fast_snid,41.03,1.25
sn1998bu-19981222.48-fast_snid,194.72,11.23
sn1998V-19980320.50-fast_snid,-1.21,0.15
sn2003du-20030707.26-fast_snid,43.89,0.90
sn2006da-20060617.44-fast_snid,1.77,0.17
sn2004ef-20040915.30-fast_snid,-1.35,0.19
sn2002er-20020904.12-fast_snid,-1.64,0.15
sn2007ax-20070326.21-fast_snid,-2.32,0.58
sn2006X-20060228.34-fast_snid,8.12,0.23
sn1996by-19961218.27-fast_snid,-1.32,0.19
sn1999da-19990709.45-fast_snid,0.54,0.17
sn2004dt-20041006.37-fast_snid,36.67,0.62
sn2002bw-20020404.50-fast_snid,22.87,0.76
sn2005eu-20051009.38-fast_snid,1.34,0.72
sn2006le-20061115.44-fast_snid,1.77,0.19
sn1997by-19970501.29-fast_snid,-0.53,0.17
sn2006gr-20061014.14-fast_snid,7.21,0.22
sn2003hu-20030928.12-fast_snid,2.22,0.21
sn1999cc-19990519.36-fast_snid,-0.37,0.18
sn2002de-20020602.24-fast_snid,-1.91,0.16
sn2005cf-20050708.19-fast_snid,31.98,0.42
sn1994ae-19941201.50-fast_snid,-0.93,0.16
sn2007fb-20071015.30-fast_snid,85.42,4.83
sn2007ux-20080101.38-fast_snid,0.93,0.16
sn2001eb-20010911.49-fast_snid,37.82,0.75
sn2006S-20060131.49-fast_snid,-1.75,0.17
sn2005ls-20051227.20-fast_snid,21.06,0.61
sn2007ax-20070414.21-fast_snid,24.18,0.69
sn2006N-20060201.21-fast_snid,2.88,0.36
sn2004ef-20041006.17-fast_snid,31.26,0.47
sn2007cf-20070510.29-fast_snid,11.57,0.85
sn2005am-20050414.17-fast_snid,34.02,0.50
sn1995D-19950307.32-fast_snid,24.29,0.94
sn2007co-20070613.39-fast_snid,-1.33,0.16
sn1999cl-19990605.19-fast_snid,-0.29,0.16
sn2004at-20040329.21-fast_snid,-1.73,0.16
sn2006gz-20061020.12-fast_snid,2.59,0.20
sn1995ak-19951114.25-fast_snid,26.64,0.61
sn2003fa-20030605.42-fast_snid,-4.44,0.42
sn2000cf-20000512.36-fast_snid,-0.26,0.16
sn2001ib-20011210.09-fast_snid,0.14,0.16
sn2006cz-20060620.24-fast_snid,-0.72,0.20
sn2005el-20051102.40-fast_snid,31.36,0.40
sn2007cp-20070615.18-fast_snid,-2.34,0.18
sn2007hu-20070913.12-mmt_snid,-0.53,0.15
sn1998bu-19980617.14-fast_snid,30.87,0.42
sn2001en-20011016.33-fast_snid,1.17,0.19
sn1999dq-19991031.33-fast_snid,32.37,0.45
sn1997E-19970209.23-fast_snid,31.04,0.39
sn2008ar-20080414.30-fast_snid,31.36,0.39
sn1998es-19981114.22-fast_snid,-6.67,0.27
sn1995al-19951118.53-fast_snid,10.54,0.15
sn2000dk-20001224.16-fast_snid,65.53,2.75
sn2003cg-20030329.27-mmt_snid,-0.99,0.17
sn2006H-20060122.11-fast_snid,5.38,0.40
sn1999gh-19991208.52-fast_snid,11.47,0.33
sn2001cp-20010629.28-fast_snid,-1.51,0.16
sn2000dg-20000920.38-fast_snid,30.49,0.54
sn2006H-20060124.15-fast_snid,12.94,0.69
sn2002fb-20020909.43-fast_snid,-2.07,0.17
sn1997br-19970529.24-fast_snid,32.82,0.42
sn2001eh-20011117.20-fast_snid,37.61,0.74
sn2002kf-20030102.35-fast_snid,-1.39,0.16
sn1999aa-19990310.23-fast_snid,21.79,1.09
sn2008Z-20080416.16-fast_snid,46.31,1.15
sn2004av-20040319.31-fast_snid,-1.09,0.15
sn2003du-20030609.23-mmt_snid,33.03,0.39
sn2001cp-20010627.26-fast_snid,-1.85,0.17
sn2002jy-20030113.10-fast_snid,21.00,0.77
sn2005na-20060107.32-fast_snid,-0.88,0.16
sn2004bd-20040417.20-fast_snid,29.59,0.39
sn2005eq-20051005.41-fast_snid,-3.54,0.27
sn2004P-20040127.52-fast_snid,16.48,0.33
sn1995al-19960210.31-fast_snid,59.24,2.39
sn2005am-20050310.21-fast_snid,-0.44,0.17
sn2001iq-20011225.12-fast_snid,-0.18,0.43
sn1998ec-19981029.50-fast_snid,31.27,0.48
sn1999cl-19990610.22-fast_snid,-0.63,0.19
sn2003kc-20031225.51-fast_snid,28.41,0.52
sn2000cx-20010126.13-mmt_snid,169.01,15.54
sn2007kk-20071008.41-fast_snid,-0.86,0.16
sn2007qe-20071214.07-mmt_snid,18.11,0.50
sn2002bo-20020416.32-fast_snid,31.21,0.55
sn1998de-19980726.47-fast_snid,-0.93,0.32
sn2006le-20061216.33-fast_snid,34.14,0.49
sn2003kd-20031126.41-fast_snid,-1.46,0.16
sn1998bu-19980623.17-fast_snid,32.82,0.48
sn2001N-20010131.40-fast_snid,10.69,0.28
sn2005ke-20051125.30-fast_snid,2.96,0.32
sn2005iq-20051107.21-fast_snid,-1.39,0.18
sn2003im-20031003.34-fast_snid,33.92,0.41
sn1998aq-19980624.19-fast_snid,43.52,0.87
sn2007af-20070320.48-fast_snid,1.48,0.16
sn2002bf-20020403.21-fast_snid,28.31,0.48
sn2001br-20010715.44-mmt_snid,27.46,1.61
sn1998bu-19980629.16-fast_snid,35.55,0.55
sn1996bo-19961103.27-fast_snid,2.21,0.21
sn2003ch-20030411.18-fast_snid,37.61,1.60
sn2001da-20010716.46-fast_snid,-0.93,0.17
sn1999cl-19990612.17-fast_snid,-0.04,0.18
sn2001eh-20010912.44-fast_snid,-2.16,0.18
sn2003fd-20030626.20-fast_snid,7.99,0.22
sn2001bf-20010628.30-fast_snid,34.95,0.56
sn1999aa-19990311.23-fast_snid,21.10,0.90
sn2004bg-20040420.33-fast_snid,-0.01,0.16
sn2006le-20061117.44-fast_snid,6.21,0.19
sn2006lf-20061029.40-fast_snid,-1.50,0.18
sn2000cx-20000727.43-fast_snid,-2.50,0.39
sn2008C-20080130.28-fast_snid,28.59,0.38
sn2004as-20040316.35-fast_snid,-1.59,0.18
sn2002bo-20020317.35-fast_snid,-0.76,0.15
sn2003du-20030424.32-fast_snid,-1.45,0.18
sn2002cd-20020605.46-fast_snid,41.45,1.66
sn2001U-20010219.48-fast_snid,30.08,0.39
sn2007S-20070208.34-fast_snid,-1.48,0.24
sn2002fk-20021107.30-fast_snid,33.17,0.40
sn2004ef-20041020.15-fast_snid,33.62,0.43
sn2007al-20070315.23-fast_snid,0.70,0.62
sn2001V-20010402.19-fast_snid,31.47,0.50
sn2001P-20010219.42-fast_snid,30.71,0.44
sn2006bk-20060423.31-fast_snid,31.35,0.50
sn2003kf-20040214.22-fast_snid,47.78,1.51
sn1994M-19940506.26-fast_snid,-1.33,0.17
sn1998eg-19981029.19-fast_snid,-0.72,0.16
sn2000dn-20001003.30-fast_snid,-1.20,0.16
sn2003ez-20030606.22-fast_snid,-2.00,0.15
sn2006oa-20061122.16-fast_snid,-3.56,0.25
sn2007fs-20070718.42-fast_snid,-0.51,0.16
sn2006cp-20060617.21-fast_snid,1.53,0.18
sn2006gz-20061021.12-fast_snid,4.18,0.19
sn1995bd-19960210.19-fast_snid,30.96,1.35
sn1999aa-19990507.16-fast_snid,38.76,1.11
sn1998de-19980804.46-fast_snid,4.20,0.48
