Spectrum,Simple_Mean_Age,Simple_Mean_StdDev,Bootstrap_Median_Age,Bootstrap_Uncertainty
sn1999dq-19990910.44-fast_corrected_snid,-4.44,1.32,-4.95,0.53
sn2006le-20061119.40-fast_corrected_snid,9.97,1.31,10.20,0.29
sn2002fk-20021007.45-fast_corrected_snid,1.77,3.01,0.85,0.98
sn2004as-20040315.31-fast_corrected_snid,-3.38,3.91,-2.35,1.07
sn2002bo-20020318.27-fast_corrected_snid,0.77,3.48,1.40,0.67
sn2001eh-20011014.32-fast_corrected_snid,20.82,4.09,19.70,1.26
sn2007bm-20070608.16-fast_corrected_snid,33.74,3.91,33.20,0.93
sn1999ac-19990419.44-fast_corrected_snid,30.23,3.96,30.15,0.81
sn2002ck-20020505.37-fast_corrected_snid,2.58,2.81,2.15,0.68
sn2005cf-20050608.25-fast_corrected_snid,-4.00,3.55,-4.15,0.86
sn1997cn-19970611.22-fast_corrected_snid,30.29,5.97,29.45,0.99
sn1999gp-20000129.10-fast_corrected_snid,18.84,1.97,18.40,0.47
sn1999cl-19990608.24-fast_corrected_snid,-2.50,5.22,-0.65,1.60
sn2007af-20070311.45-fast_corrected_snid,-2.38,3.75,-0.70,1.07
sn1996bo-19961103.27-fast_corrected_snid,3.47,4.23,5.15,0.64
sn2002hw-20021208.15-fast_corrected_snid,24.81,5.45,25.75,1.64
sn2006lf-20061222.24-fast_corrected_snid,46.77,12.82,48.20,1.69
sn2000fa-20001216.36-fast_corrected_snid,0.23,2.93,-0.90,0.77
sn1998V-19980321.51-fast_corrected_snid,1.91,3.30,1.90,0.68
sn2006cp-20060722.17-fast_corrected_snid,35.67,5.58,36.75,1.27
sn2006S-20060204.47-fast_corrected_snid,-2.81,3.79,-0.85,0.59
sn2001G-20010201.39-fast_corrected_snid,11.08,1.21,10.68,0.31
sn1999gh-20000106.45-fast_corrected_snid,39.88,4.36,38.55,0.68
sn2002he-20021111.52-fast_corrected_snid,-1.25,5.66,1.35,1.12
sn1994D-19940403.36-fast_corrected_snid,14.91,2.35,15.30,0.71
sn2004fu-20041110.17-fast_corrected_snid,-4.50,3.65,-5.05,0.97
sn2001br-20010715.44-mmt_corrected_snid,29.96,18.76,30.55,4.77
sn1999ac-19990608.38-fast_corrected_snid,65.87,7.62,66.30,1.73
sn2007fb-20070719.48-fast_corrected_snid,13.33,2.57,12.85,0.54
sn2001bf-20010721.19-fast_corrected_snid,62.40,12.10,63.30,1.76
sn2007fb-20070707.44-fast_corrected_snid,-2.98,3.48,-2.45,0.57
sn1998es-19981119.28-fast_corrected_snid,-6.64,2.72,-5.85,0.70
sn1999ef-19991016.30-fast_corrected_snid,10.96,1.08,10.45,0.20
sn2005kc-20051205.09-fast_corrected_snid,12.38,1.95,11.35,0.31
sn2007fb-20070904.38-fast_corrected_snid,66.55,7.65,67.25,1.80
sn1995al-19951116.51-fast_corrected_snid,8.08,0.95,7.90,0.18
sn2001ay-20010426.34-fast_corrected_snid,0.31,5.95,1.50,1.27
sn2002he-20021030.48-fast_corrected_snid,-2.40,4.34,-1.90,1.10
sn2004dt-20040915.45-fast_corrected_snid,25.55,4.58,24.55,1.20
sn1999gd-20000102.39-fast_corrected_snid,26.84,4.01,27.40,1.05
sn2004ef-20040922.22-fast_corrected_snid,7.11,1.00,7.00,0.24
sn2006X-20060222.41-fast_corrected_snid,2.21,4.42,5.10,0.53
sn2001V-20010219.40-fast_corrected_snid,-5.34,1.79,-5.55,0.54
sn1995D-19950304.34-fast_corrected_snid,10.32,1.33,10.35,0.28
sn2006cz-20060619.26-fast_corrected_snid,-1.10,3.59,-1.35,0.86
sn2003ch-20030330.16-fast_corrected_snid,2.35,1.68,1.95,0.46
sn2006lf-20061029.40-fast_corrected_snid,-2.25,4.79,-1.75,0.89
sn1998bu-19980528.19-fast_corrected_snid,7.75,0.94,7.70,0.21
sn2003kc-20031203.49-fast_corrected_snid,-1.72,5.14,-0.75,0.89
sn2002dj-20020705.18-fast_corrected_snid,8.06,1.41,8.55,0.24
sn2002dp-20020712.41-fast_corrected_snid,18.16,3.69,18.15,0.93
sn1994T-19940616.23-fast_corrected_snid,8.19,1.15,8.35,0.26
sn2002dl-20020620.41-fast_corrected_snid,-4.14,2.84,-3.08,0.93
sn2003it-20031028.34-fast_corrected_snid,3.65,1.41,3.65,0.42
sn2000fa-20001225.42-fast_corrected_snid,10.88,0.80,11.05,0.24
sn1998eg-19981111.16-fast_corrected_snid,17.57,2.86,17.75,0.58
sn2001cp-20010627.26-fast_corrected_snid,-2.06,3.09,-1.05,0.70
sn1994M-19940508.26-fast_corrected_snid,2.11,3.91,2.95,0.66
sn2000fa-20001228.41-fast_corrected_snid,13.73,0.95,13.55,0.32
sn2007hj-20070910.33-fast_corrected_snid,3.34,3.03,3.80,0.59
sn2003kf-20031218.35-fast_corrected_snid,9.68,1.05,9.60,0.24
sn2007S-20070225.30-fast_corrected_snid,10.42,1.40,10.80,0.35
sn2001bf-20010715.40-mmt_corrected_snid,65.34,9.93,61.65,1.43
sn2000fa-20010126.19-mmt_corrected_snid,39.23,6.52,40.10,0.92
sn2002fb-20020909.43-fast_corrected_snid,-4.70,3.49,-6.00,0.57
sn2004fu-20041121.09-fast_corrected_snid,-0.57,4.36,0.40,1.29
sn1994D-19940316.37-fast_corrected_snid,-2.40,2.27,-2.35,0.71
sn2005M-20050201.30-fast_corrected_snid,-3.00,4.35,-3.35,1.14
sn2007bm-20070522.17-fast_corrected_snid,20.98,4.15,20.90,1.22
sn1998bu-19980715.17-fast_corrected_snid,60.41,3.87,59.85,0.88
sn1999dq-19991018.49-fast_corrected_snid,27.82,4.98,28.35,1.03
sn2008ar-20080414.30-fast_corrected_snid,28.12,4.97,29.35,0.82
sn2007cg-20070516.24-fast_corrected_snid,9.50,1.97,9.10,0.29
sn2002bf-20020315.22-fast_corrected_snid,9.46,2.57,9.35,0.38
sn1997cn-19970608.29-fast_corrected_snid,26.89,4.92,27.15,0.99
sn1996X-19960415.32-fast_corrected_snid,-1.14,2.22,-0.40,0.53
sn2007le-20071103.17-fast_corrected_snid,7.50,1.45,7.45,0.28
sn2001eh-20011024.26-fast_corrected_snid,32.99,3.66,33.25,0.71
sn1996X-19960418.31-fast_corrected_snid,-1.03,2.63,-0.15,0.80
sn1998bu-19980625.17-fast_corrected_snid,39.23,3.83,38.52,0.77
sn2002ha-20021205.09-fast_corrected_snid,28.66,4.56,28.40,0.90
sn1999gh-19991206.53-fast_corrected_snid,5.66,1.50,6.75,0.32
sn2002bo-20020321.24-fast_corrected_snid,1.29,3.56,2.15,0.73
sn1999dq-19990916.45-fast_corrected_snid,0.92,2.21,0.15,0.50
sn1999dq-19990912.51-fast_corrected_snid,-3.46,1.59,-3.45,0.54
sn2003du-20030424.32-fast_corrected_snid,-3.75,3.46,-1.95,1.22
sn2004fz-20041117.41-fast_corrected_snid,-2.30,2.70,-2.20,0.62
sn2004as-20040313.30-fast_corrected_snid,-3.13,5.01,-1.65,1.28
sn2001V-20010414.31-fast_corrected_snid,35.16,2.61,34.60,0.83
sn2001ck-20010617.29-fast_corrected_snid,2.90,3.67,3.35,0.58
sn2007ci-20070522.19-fast_corrected_snid,-1.20,2.60,-1.50,0.64
sn2006lf-20061125.34-fast_corrected_snid,21.50,3.71,22.70,0.97
sn1998aq-19980418.29-fast_corrected_snid,-5.22,4.63,-4.55,1.49
sn2004gs-20041213.44-fast_corrected_snid,0.76,3.75,0.93,0.93
sn2006cq-20060531.27-fast_corrected_snid,-3.35,2.51,-3.25,0.65
sn2001ep-20011122.28-fast_corrected_snid,31.01,3.02,30.60,0.77
sn2006al-20060228.38-fast_corrected_snid,5.87,2.16,5.80,0.24
sn2001ep-20011023.45-fast_corrected_snid,5.54,1.21,5.40,0.38
sn2006S-20060206.48-fast_corrected_snid,-1.76,3.95,0.10,0.85
sn2007bc-20070414.27-fast_corrected_snid,2.49,3.87,3.90,0.38
sn2006N-20060127.24-fast_corrected_snid,0.49,2.59,0.75,0.78
sn2007ax-20070414.21-fast_corrected_snid,27.39,3.27,28.30,0.65
sn2006H-20060131.11-fast_corrected_snid,26.62,3.71,28.10,0.79
sn2002fk-20030104.17-fast_corrected_snid,94.81,13.50,88.65,3.18
sn2001V-20010402.19-fast_corrected_snid,31.35,6.66,32.00,1.80
sn2007bc-20070407.24-fast_corrected_snid,-2.62,2.02,-1.95,0.51
sn2008ar-20080314.29-fast_corrected_snid,0.98,4.04,2.35,0.73
sn2003cg-20030329.29-fast_corrected_snid,-0.88,3.28,-1.15,0.55
sn2003U-20030129.53-mmt_corrected_snid,-4.53,3.62,-3.85,0.60
sn2005eq-20051009.42-fast_corrected_snid,-0.79,3.37,-0.40,0.80
sn1998bp-19980501.47-fast_corrected_snid,0.88,3.71,1.70,0.66
sn2001ay-20010524.33-mmt_corrected_snid,27.29,6.28,26.60,1.25
sn2001ck-20010629.18-fast_corrected_snid,16.32,1.81,16.30,0.41
sn2002fk-20021112.36-fast_corrected_snid,42.31,3.73,41.75,0.99
sn2002ck-20020507.38-fast_corrected_snid,3.26,4.89,4.28,0.65
sn1999by-19990508.15-fast_corrected_snid,1.19,3.43,1.20,0.93
sn2007ux-20080101.38-fast_corrected_snid,0.56,2.83,1.20,1.08
sn2007S-20070221.32-fast_corrected_snid,8.10,1.10,7.60,0.34
sn2002cs-20020507.39-fast_corrected_snid,-3.94,3.92,-4.25,1.08
sn2004ef-20040914.18-fast_corrected_snid,-5.00,3.92,-4.60,1.20
sn2001V-20010423.22-fast_corrected_snid,43.76,5.15,42.45,0.98
sn2001ep-20011022.43-fast_corrected_snid,4.70,1.68,4.75,0.34
sn1999by-19990605.17-fast_corrected_snid,25.48,7.70,23.65,2.37
sn1998dm-19980910.42-fast_corrected_snid,4.58,1.26,4.05,0.34
sn2001az-20010430.40-fast_corrected_snid,-3.15,4.27,-3.00,1.27
sn1999ac-19990312.53-fast_corrected_snid,-1.64,4.44,-1.20,1.25
sn1998aq-19980629.17-fast_corrected_snid,62.80,5.08,62.23,1.63
sn1999dq-19991002.47-fast_corrected_snid,18.32,2.02,18.10,0.31
sn1998ec-19981111.52-fast_corrected_snid,35.56,6.32,36.80,1.90
sn2008ar-20080407.29-fast_corrected_snid,27.44,3.71,28.20,0.69
sn1997dt-19971124.09-fast_corrected_snid,-3.98,3.45,-2.70,0.84
sn2001da-20010724.45-fast_corrected_snid,7.20,1.83,7.50,0.26
sn2006gt-20060925.36-fast_corrected_snid,-1.59,4.06,-0.55,0.92
sn2002jy-20030105.11-fast_corrected_snid,8.52,0.78,8.20,0.24
sn2006ac-20060302.48-fast_corrected_snid,15.22,2.54,15.80,0.67
sn1997cn-19970605.30-fast_corrected_snid,28.26,4.50,27.45,1.05
sn2002es-20020905.50-fast_corrected_snid,10.13,4.17,8.15,0.83
sn2004ef-20040918.28-fast_corrected_snid,0.53,4.50,0.50,0.92
sn2008ar-20080308.43-fast_corrected_snid,-4.66,3.37,-4.75,1.00
sn1998bu-19980702.16-fast_corrected_snid,45.74,3.74,45.10,1.04
sn1996X-19960416.44-fast_corrected_snid,-1.33,2.45,-1.20,0.68
sn2004as-20040321.27-fast_corrected_snid,-2.56,4.24,-1.20,0.98
sn2007F-20070115.53-fast_corrected_snid,-4.65,4.28,-4.10,1.09
sn1999aa-19990312.29-fast_corrected_snid,16.88,0.96,16.65,0.28
sn1999dq-19990920.46-fast_corrected_snid,4.51,3.16,5.25,0.48
sn2006lf-20061221.21-fast_corrected_snid,59.55,3.76,58.60,1.15
sn2001ep-20011115.37-fast_corrected_snid,28.35,3.47,27.95,0.90
sn2007le-20071215.11-fast_corrected_snid,55.44,12.77,52.70,1.94
sn2007hj-20070907.32-fast_corrected_snid,-1.68,3.98,-0.90,1.44
sn2004L-20040128.37-fast_corrected_snid,2.88,2.74,3.20,0.62
sn2007le-20071218.12-fast_corrected_snid,57.61,11.33,53.50,2.11
sn2002cs-20020519.39-fast_corrected_snid,-1.88,4.57,0.30,0.80
sn2003W-20030310.28-fast_corrected_snid,30.23,4.82,33.25,1.03
sn1999by-19990509.18-fast_corrected_snid,-1.10,3.95,-0.25,1.35
sn2004ef-20040911.34-fast_corrected_snid,-6.21,3.87,-5.85,1.15
sn1997do-19971124.45-fast_corrected_snid,8.80,1.27,8.80,0.27
sn1998eg-19981024.15-fast_corrected_snid,-0.42,2.30,-1.50,0.66
sn2006ac-20060226.34-fast_corrected_snid,11.36,1.49,11.35,0.27
sn2001N-20010124.39-fast_corrected_snid,-1.45,4.97,-0.30,1.14
sn2005el-20050928.47-fast_corrected_snid,-4.07,3.64,-3.45,0.86
sn2006H-20060123.13-fast_corrected_snid,8.57,8.01,7.00,0.69
sn2004gs-20041220.44-fast_corrected_snid,5.55,1.96,6.25,0.36
sn2006bt-20060519.28-fast_corrected_snid,13.87,7.40,15.20,1.73
sn1998bu-19981213.54-fast_corrected_snid,201.69,58.19,215.95,28.48
sn1998ab-19980516.24-fast_corrected_snid,31.16,2.17,30.55,0.63
sn2004L-20040216.35-fast_corrected_snid,24.91,4.58,24.30,1.28
sn2004as-20040317.39-fast_corrected_snid,-3.62,4.81,-3.50,1.43
sn1998bu-19980520.15-fast_corrected_snid,-1.68,3.18,-1.25,0.48
sn2007kk-20071011.36-fast_corrected_snid,2.21,4.19,2.35,0.71
sn1998co-19980623.45-fast_corrected_snid,1.78,1.38,1.65,0.44
sn2003fa-20030606.36-fast_corrected_snid,-1.56,6.60,-3.15,1.77
sn2003cq-20030427.22-fast_corrected_snid,17.98,3.83,19.30,0.98
sn1994ae-19950501.20-fast_corrected_snid,161.59,46.92,164.05,28.13
sn2006cp-20060602.16-fast_corrected_snid,-5.43,3.43,-5.05,1.23
sn2002bo-20020506.18-fast_corrected_snid,44.70,4.00,44.85,1.46
sn2003W-20030326.31-fast_corrected_snid,37.48,9.45,41.15,1.71
sn2008af-20080301.49-fast_corrected_snid,28.57,4.36,29.15,0.67
sn2001fe-20011224.37-fast_corrected_snid,39.09,3.69,39.80,0.91
sn2000E-20000602.45-fast_corrected_snid,116.11,18.98,105.15,4.91
sn1998dx-19980929.13-fast_corrected_snid,13.73,1.66,13.55,0.57
sn2005cf-20050708.19-fast_corrected_snid,29.27,7.89,28.30,2.41
sn2001ep-20011010.49-fast_corrected_snid,-2.03,2.64,-2.10,0.75
sn1999ac-19990409.45-fast_corrected_snid,30.59,6.35,30.95,1.26
sn2002hw-20021114.10-fast_corrected_snid,-3.60,4.37,-3.10,1.04
sn1998aq-19981224.54-fast_corrected_snid,222.44,41.99,222.32,12.55
sn2001fe-20011122.48-fast_corrected_snid,6.00,1.34,5.65,0.52
sn2001cp-20010621.45-fast_corrected_snid,-2.63,2.85,-2.50,0.80
sn2000dk-20000926.37-fast_corrected_snid,-2.17,3.39,-1.05,0.52
sn2002bf-20020403.21-fast_corrected_snid,26.18,4.40,26.60,0.87
sn2001V-20010327.32-fast_corrected_snid,20.05,3.21,19.70,0.87
sn1999gp-20000114.16-fast_corrected_snid,6.80,1.69,6.30,0.31
sn1994D-19940321.35-fast_corrected_snid,-1.93,3.32,-1.75,0.78
sn1996C-19960220.40-fast_corrected_snid,3.86,2.71,4.05,0.40
sn1996X-19960516.24-fast_corrected_snid,29.53,4.11,30.85,0.77
sn2001G-20010317.18-fast_corrected_snid,49.62,14.22,55.60,1.35
sn2006gr-20060924.26-fast_corrected_snid,-7.01,2.50,-6.65,0.58
sn2007bm-20070425.19-fast_corrected_snid,-2.73,3.60,-2.40,0.91
sn1996X-19960426.28-fast_corrected_snid,7.65,1.51,7.85,0.20
sn1998dm-19981015.34-fast_corrected_snid,40.90,4.24,40.35,0.71
sn2006le-20061122.38-fast_corrected_snid,12.89,1.17,13.00,0.37
sn2003kf-20040118.25-fast_corrected_snid,41.88,4.28,41.55,0.82
sn2008ar-20080310.36-fast_corrected_snid,-2.23,2.91,-1.85,0.76
sn1998aq-19980528.22-fast_corrected_snid,32.67,3.32,32.10,0.95
sn2002dp-20020708.44-fast_corrected_snid,12.66,1.81,12.35,0.47
sn2007le-20071106.14-fast_corrected_snid,10.34,1.42,10.35,0.35
sn1995al-19960210.31-fast_corrected_snid,93.05,14.16,87.60,2.18
sn2000cf-20000525.35-fast_corrected_snid,17.27,3.18,17.45,0.67
sn2002fk-20021031.32-fast_corrected_snid,31.89,3.72,32.00,1.08
sn2001gc-20011122.26-fast_corrected_snid,-0.88,3.93,0.15,1.29
sn2006cp-20060531.25-fast_corrected_snid,-5.20,3.99,-3.15,1.33
sn2006hb-20061022.39-fast_corrected_snid,28.25,3.51,28.40,0.61
sn1994ae-19950103.48-fast_corrected_snid,36.45,3.20,36.70,0.86
sn1998bu-19980620.14-fast_corrected_snid,33.30,2.51,33.55,0.78
sn2007F-20070415.31-fast_corrected_snid,90.34,9.58,87.05,2.06
sn1996ai-19960620.15-mmt_corrected_snid,-2.03,3.56,-1.45,0.66
sn1994T-19940613.19-fast_corrected_snid,2.81,3.75,3.27,0.86
sn2003ch-20030329.11-mmt_corrected_snid,0.47,1.92,0.60,0.78
sn2006X-20060403.36-fast_corrected_snid,41.27,7.15,42.55,1.56
sn2007S-20070319.24-fast_corrected_snid,30.35,5.03,29.50,0.85
sn2001ep-20011107.39-fast_corrected_snid,28.18,5.73,27.30,1.49
sn2004gs-20050118.36-fast_corrected_snid,30.75,5.60,32.25,0.86
sn1995al-19951121.45-fast_corrected_snid,13.19,1.05,12.80,0.36
sn2001az-20010522.33-fast_corrected_snid,16.38,1.49,15.90,0.45
sn2001ep-20011019.44-fast_corrected_snid,3.02,2.11,2.70,0.65
sn2003ic-20031002.25-fast_corrected_snid,10.78,2.45,10.70,0.26
sn2005ke-20051205.26-fast_corrected_snid,15.72,4.68,14.88,1.40
sn2001az-20010524.43-mmt_corrected_snid,17.70,1.77,16.65,0.48
sn2001ay-20010525.38-fast_corrected_snid,24.67,3.15,24.70,0.93
sn1999ac-19990413.47-fast_corrected_snid,30.57,3.27,29.35,0.71
sn1999ac-19990421.46-fast_corrected_snid,31.19,3.39,30.55,0.85
sn2007bd-20070407.18-fast_corrected_snid,-4.93,3.69,-4.25,0.66
sn2006lf-20061115.42-fast_corrected_snid,8.61,1.43,8.70,0.26
sn2007cq-20070625.45-fast_corrected_snid,-2.10,4.02,-2.75,1.08
sn1994M-19940505.17-fast_corrected_snid,-4.58,3.61,-2.80,0.77
sn2002dj-20020615.17-fast_corrected_snid,-0.82,3.19,-0.55,0.77
sn1996bo-19961109.28-fast_corrected_snid,10.40,0.91,11.00,0.24
sn2006S-20060203.47-fast_corrected_snid,-3.21,3.85,-1.45,0.82
sn2007au-20070326.15-fast_corrected_snid,2.14,3.31,2.75,0.61
sn1998bu-19980529.18-fast_corrected_snid,8.95,1.09,8.55,0.24
sn2003cg-20030401.22-fast_corrected_snid,1.29,2.37,1.15,0.57
sn2007jg-20070920.46-fast_corrected_snid,-2.67,3.71,-3.68,0.85
sn1997cn-19970601.35-fast_corrected_snid,25.98,3.82,27.50,0.85
sn1999aa-19990325.12-fast_corrected_snid,31.41,6.11,31.20,1.74
sn1997dt-19971204.11-fast_corrected_snid,1.53,2.73,1.60,0.58
sn2006sr-20061226.13-fast_corrected_snid,2.54,1.37,1.75,0.49
sn2003kf-20050111.11-ldss2_corrected_snid,179.33,127.71,-1.00,-1.00
sn2007hj-20071009.23-fast_corrected_snid,32.04,3.91,31.35,1.00
sn1999ef-19991013.29-fast_corrected_snid,8.36,0.90,8.10,0.20
sn2002cr-20020515.28-fast_corrected_snid,-0.73,2.33,-0.75,0.68
sn2001V-20010501.36-fast_corrected_snid,52.85,4.45,51.00,1.13
sn2006N-20060130.22-fast_corrected_snid,3.63,2.87,3.85,0.48
sn2007kk-20071013.46-fast_corrected_snid,2.55,4.50,4.05,0.63
sn2005eu-20051009.38-fast_corrected_snid,-0.43,6.67,3.40,1.95
sn1994D-19940503.25-fast_corrected_snid,48.78,5.20,45.40,1.51
sn1999dq-19990909.44-fast_corrected_snid,-4.79,1.67,-5.65,0.57
sn2006ot-20061127.30-fast_corrected_snid,0.11,5.03,1.90,0.96
sn1994D-19940401.28-fast_corrected_snid,12.27,1.14,12.15,0.30
sn2007co-20070614.38-fast_corrected_snid,-0.47,5.05,1.00,1.17
sn2002fk-20030101.21-fast_corrected_snid,87.31,9.07,84.65,2.25
sn1998es-19981214.18-fast_corrected_snid,17.32,2.43,17.10,0.39
sn2007al-20070315.23-fast_corrected_snid,-0.61,3.67,-0.45,1.36
sn1999aa-19990324.18-fast_corrected_snid,28.16,6.22,26.25,1.43
sn2006cp-20060618.21-fast_corrected_snid,6.13,1.82,6.50,0.30
sn2002cr-20020519.18-fast_corrected_snid,2.82,1.49,1.95,0.74
sn2001fe-20011207.49-fast_corrected_snid,18.64,2.74,18.45,0.57
sn2002de-20020604.23-fast_corrected_snid,-4.92,2.34,-5.30,0.53
sn1998de-19980725.46-fast_corrected_snid,-2.90,6.08,-5.05,1.79
sn1999cl-19990610.22-fast_corrected_snid,-2.37,5.11,-1.80,1.34
sn2003cq-20030403.28-fast_corrected_snid,-6.51,3.22,-5.40,0.68
sn1996X-19960419.30-fast_corrected_snid,0.36,2.44,0.20,0.67
sn1998V-19980419.50-fast_corrected_snid,34.90,3.66,34.40,1.09
sn2004ef-20041012.14-fast_corrected_snid,28.50,3.45,30.00,0.90
sn2008bf-20080511.20-fast_corrected_snid,40.42,4.71,40.20,1.05
