sn_name,snr,redshift,feature_depth,mean_continuum_noise,adaptive_feature_width_A,min_wavelength_A,spectrum_file
2003fa,1.54,0.04040,3.6072e-17,2.3478e-17,15.0,6375.0,sn2003fa-20030606.36-fast_corrected.flm
2001eh,12.90,0.03710,2.8825e-16,2.2350e-17,201.0,6367.5,sn2001eh-20010917.39-fast_corrected.flm
2001N,10.22,0.02100,4.5401e-16,4.4429e-17,213.0,6223.5,sn2001N-20010201.37-fast_corrected.flm
2006cp,17.81,0.02230,2.9953e-16,1.6820e-17,233.7,6149.1,sn2006cp-20060531.25-fast_corrected.flm
2007al,14.58,0.01210,3.4807e-16,2.3873e-17,195.5,6247.5,sn2007al-20070313.23-fast_corrected.flm
1994ae,83.48,0.00430,7.1993e-15,8.6243e-17,232.3,6154.8,sn1994ae-19941204.53-fast_corrected.flm
1996bl,13.40,0.03600,3.9081e-16,2.9155e-17,194.0,6321.0,sn1996bl-19961016.29-fast_corrected.flm
2006gj,22.29,0.02830,4.3451e-16,1.9493e-17,216.1,6297.9,sn2006gj-20060924.46-fast_corrected.flm
2000fa,5.40,0.02130,1.0785e-16,1.9973e-17,154.5,6259.5,sn2000fa-20010101.42-fast_corrected.flm
2002de,6.85,0.02800,5.7695e-16,8.4270e-17,139.5,6312.0,sn2002de-20020604.23-fast_corrected.flm
2007le,30.49,0.00680,2.5462e-12,8.3507e-14,238.1,6128.8,sn2007le-20071019.21-fast_corrected.flm
2005cf,9.04,0.00650,2.5341e-16,2.8019e-17,5.9,6335.3,sn2005cf-20050728.19-fast_corrected.flm
1999ej,7.28,0.01370,4.3320e-16,5.9504e-17,153.0,6246.0,sn1999ej-19991112.27-fast_corrected.flm
1998bu,6.45,0.00290,2.2824e-16,3.5380e-17,225.0,6349.5,sn1998bu-19981114.51-fast_corrected.flm
1997bq,15.43,0.00930,4.2179e-16,2.7334e-17,201.4,6381.3,sn1997bq-19970606.18-fast_corrected.flm
2001ay,6.44,0.03020,6.9643e-17,1.0822e-17,20.0,6342.0,sn2001ay-20010524.33-mmt_corrected.flm
2001V,39.12,0.01510,2.7105e-15,6.9290e-17,211.5,6223.5,sn2001V-20010315.44-fast_corrected.flm
2003cq,2.72,0.03330,8.7590e-17,3.2196e-17,64.5,6304.5,sn2003cq-20030409.25-fast_corrected.flm
2004ef,3.14,0.03100,9.1979e-17,2.9293e-17,50.0,6330.9,sn2004ef-20041012.14-fast_corrected.flm
1998ef,27.35,0.01770,1.6560e-15,6.0550e-17,256.5,6196.5,sn1998ef-19981029.31-fast_corrected.flm
2000dm,48.28,0.01490,1.6340e-15,3.3848e-17,232.5,6207.0,sn2000dm-20000925.11-fast_corrected.flm
2003du,21.51,0.00640,2.1021e-15,9.7740e-17,60.0,6202.0,sn2003du-20030609.23-mmt_corrected.flm
2002cd,0.66,0.01040,1.7264e-17,2.6299e-17,70.5,6201.0,sn2002cd-20020605.46-fast_corrected.flm
2003cg,15.84,0.00410,1.5546e-15,9.8126e-17,171.0,6157.5,sn2003cg-20030411.23-fast_corrected.flm
2005eq,10.25,0.02900,1.5430e-16,1.5051e-17,67.6,6329.4,sn2005eq-20051028.34-fast_corrected.flm
2004gs,18.44,0.02660,2.4423e-16,1.3245e-17,222.0,6298.6,sn2004gs-20041213.44-fast_corrected.flm
1994ae,15.67,0.00430,1.2091e-16,7.7150e-18,251.4,6379.2,sn1994ae-19950501.20-fast_corrected.flm
2005ke,6.43,0.00450,2.2656e-16,3.5242e-17,104.4,6236.0,sn2005ke-20051221.23-fast_corrected.flm
2002fk,10.89,0.00750,3.4857e-16,3.2008e-17,205.5,6369.0,sn2002fk-20021228.25-fast_corrected.flm
2000dk,15.95,0.01750,6.9183e-16,4.3382e-17,252.0,6246.5,sn2000dk-20001005.33-fast_corrected.flm
2000E,7.45,0.00470,5.3187e-16,7.1407e-17,189.0,6409.5,sn2000E-20000602.45-fast_corrected.flm
2005eq,8.99,0.02900,1.6148e-16,1.7963e-17,120.5,6338.3,sn2005eq-20051002.51-fast_corrected.flm
1995D,28.57,0.00670,5.3230e-16,1.8630e-17,236.7,6370.4,sn1995D-19950525.20-fast_corrected.flm
2002hw,12.55,0.01750,5.6837e-16,4.5297e-17,249.0,6240.0,sn2002hw-20021114.10-fast_corrected.flm
2008Z,19.89,0.02100,7.3308e-16,3.6865e-17,151.4,6245.5,sn2008Z-20080229.28-fast_corrected.flm
2005cf,69.23,0.00650,6.0415e-15,8.7263e-17,248.4,6177.4,sn2005cf-20050608.25-fast_corrected.flm
2003du,34.12,0.00640,2.5238e-14,7.3967e-16,267.0,6160.5,sn2003du-20030428.24-fast_corrected.flm
2008R,44.19,0.01350,3.6184e-15,8.1884e-17,233.7,6225.4,sn2008R-20080202.13-fast_corrected.flm
2002bo,10.66,0.00430,8.2483e-16,7.7351e-17,252.0,6175.5,sn2002bo-20020412.24-fast_corrected.flm
2007ci,24.94,0.01800,3.2857e-16,1.3176e-17,244.0,6211.4,sn2007ci-20070520.20-fast_corrected.flm
2003cg,44.44,0.00410,4.7019e-15,1.0581e-16,213.0,6156.0,sn2003cg-20030403.18-fast_corrected.flm
1998aq,14.47,0.00390,1.4660e-15,1.0131e-16,31.5,6171.0,sn1998aq-19980529.19-fast_corrected.flm
2006X,11.56,0.00520,8.2521e-16,7.1411e-17,233.7,6118.4,sn2006X-20060331.39-fast_corrected.flm
2007fs,9.21,0.01730,5.5863e-16,6.0629e-17,179.3,6456.6,sn2007fs-20071010.22-fast_corrected.flm
2005el,22.01,0.01480,6.1696e-15,2.8033e-16,236.7,6216.3,sn2005el-20050927.47-fast_corrected.flm
2002bo,50.02,0.00430,4.9889e-15,9.9739e-17,247.5,6090.0,sn2002bo-20020316.34-fast_corrected.flm
2003kf,133.62,0.00740,1.2447e-15,9.3153e-18,224.0,6352.0,sn2003kf-20040118.31-mmt_corrected.flm
1998aq,42.20,0.00390,4.8087e-15,1.1395e-16,237.0,6141.0,sn1998aq-19980418.29-fast_corrected.flm
1999by,68.58,0.00220,2.6277e-14,3.8313e-16,268.5,6165.0,sn1999by-19990515.16-fast_corrected.flm
1999gp,5.40,0.02670,3.3867e-16,6.2728e-17,135.0,6253.5,sn1999gp-20000102.21-fast_corrected.flm
2003cq,7.06,0.03330,1.7822e-16,2.5257e-17,82.5,6259.5,sn2003cq-20030403.28-fast_corrected.flm
2001fe,2.53,0.01340,1.0769e-16,4.2570e-17,87.0,6207.0,sn2001fe-20011207.49-fast_corrected.flm
1998ab,7.04,0.02700,1.9907e-16,2.8295e-17,183.0,6519.0,sn1998ab-19980518.22-fast_corrected.flm
1999ac,28.63,0.00950,4.1853e-15,1.4621e-16,258.0,6201.0,sn1999ac-19990312.53-fast_corrected.flm
1998eg,6.75,0.02490,5.3511e-16,7.9289e-17,192.0,6312.0,sn1998eg-19981030.16-fast_corrected.flm
1999da,8.46,0.01220,1.0875e-13,1.2850e-14,192.0,6192.0,sn1999da-19990709.45-fast_corrected.flm
1999by,50.21,0.00220,1.6859e-14,3.3576e-16,268.5,6168.0,sn1999by-19990518.14-fast_corrected.flm
2006X,91.60,0.00520,1.0295e-14,1.1239e-16,255.8,6081.1,sn2006X-20060222.41-fast_corrected.flm
1996C,22.47,0.02700,4.5063e-16,2.0058e-17,235.2,6300.4,sn1996C-19960220.40-fast_corrected.flm
1996C,15.95,0.02700,8.7446e-16,5.4823e-17,215.0,6287.8,sn1996C-19960223.44-mmt_corrected.flm
2005cf,69.49,0.00650,8.3120e-15,1.1962e-16,239.6,6176.6,sn2005cf-20050613.29-fast_corrected.flm
1998bu,41.31,0.00290,1.7812e-14,4.3119e-16,192.0,6313.5,sn1998bu-19980702.16-fast_corrected.flm
2006H,6.00,0.01400,1.2338e-16,2.0556e-17,101.4,6266.4,sn2006H-20060204.11-fast_corrected.flm
1999ej,19.25,0.01370,1.4775e-15,7.6771e-17,195.0,6241.5,sn1999ej-19991109.26-fast_corrected.flm
2002bf,1.32,0.02440,3.5852e-17,2.7237e-17,259.5,6217.5,sn2002bf-20020315.22-fast_corrected.flm
2005ke,5.33,0.00450,2.2027e-16,4.1301e-17,101.4,6253.1,sn2005ke-20051226.21-fast_corrected.flm
2007bm,8.94,0.00620,4.2065e-16,4.7069e-17,0.0,6199.9,sn2007bm-20070608.16-fast_corrected.flm
2001da,41.22,0.01720,1.2363e-15,2.9993e-17,280.0,6212.0,sn2001da-20010715.47-mmt_corrected.flm
1998ef,32.18,0.01770,1.8590e-15,5.7768e-17,259.5,6174.0,sn1998ef-19981024.30-fast_corrected.flm
2007kk,5.07,0.04100,4.6312e-17,9.1432e-18,14.7,6379.8,sn2007kk-20071109.40-fast_corrected.flm
2001N,1.78,0.02100,4.2303e-16,2.3746e-16,31.5,6304.5,sn2001N-20010217.39-fast_corrected.flm
2002hu,5.06,0.03740,1.1217e-16,2.2170e-17,151.5,6358.5,sn2002hu-20021110.31-fast_corrected.flm
2003du,13.29,0.00640,8.9538e-15,6.7374e-16,231.0,6108.0,sn2003du-20030424.32-fast_corrected.flm
2001ep,34.22,0.01300,1.5605e-15,4.5597e-17,207.0,6220.5,sn2001ep-20011024.43-fast_corrected.flm
2001V,7.81,0.01510,2.3589e-16,3.0221e-17,24.0,6219.0,sn2001V-20010401.22-fast_corrected.flm
1995al,9.87,0.00510,4.3562e-15,4.4146e-16,0.0,6160.2,sn1995al-19951203.40-mmt_corrected.flm
2003Y,6.06,0.01690,1.4268e-16,2.3556e-17,84.0,6181.5,sn2003Y-20030131.35-fast_corrected.flm
2007bm,10.41,0.00620,4.9774e-16,4.7804e-17,13.2,6207.8,sn2007bm-20070525.17-fast_corrected.flm
2005eq,7.83,0.02900,2.1219e-16,2.7090e-17,82.3,6323.6,sn2005eq-20051025.38-fast_corrected.flm
1998V,3.80,0.01740,1.1646e-16,3.0668e-17,76.5,6396.0,sn1998V-19980419.50-fast_corrected.flm
2003ic,5.58,0.05530,7.6977e-17,1.3798e-17,24.0,6610.5,sn2003ic-20031017.23-fast_corrected.flm
2006H,13.90,0.01400,5.1731e-16,3.7224e-17,216.1,6224.8,sn2006H-20060123.13-fast_corrected.flm
1999aa,14.92,0.01440,6.2057e-16,4.1579e-17,129.0,6234.0,sn1999aa-19990309.25-fast_corrected.flm
1999cl,86.01,0.00780,1.5926e-14,1.8517e-16,258.0,6128.5,sn1999cl-19990611.18-fast_corrected.flm
2004ef,2.36,0.03100,1.1238e-16,4.7581e-17,16.4,6238.3,sn2004ef-20040908.35-fast_corrected.flm
1994ae,103.08,0.00430,1.1330e-14,1.0991e-16,252.8,6163.6,sn1994ae-19941129.51-fast_corrected.flm
2005ki,23.83,0.01960,4.6082e-16,1.9335e-17,238.1,6244.8,sn2005ki-20051202.52-fast_corrected.flm
1999dq,10.51,0.01410,2.0493e-16,1.9507e-17,228.0,6157.5,sn1999dq-19991102.35-fast_corrected.flm
2006H,7.24,0.01400,1.4438e-15,1.9932e-16,110.2,6244.8,sn2006H-20060127.26-fast_corrected.flm
2006bz,6.56,0.02680,2.0700e-16,3.1547e-17,136.7,6306.9,sn2006bz-20060506.16-fast_corrected.flm
2004as,3.96,0.03100,6.5338e-17,1.6507e-17,34.5,6361.5,sn2004as-20040416.27-fast_corrected.flm
1999gp,7.27,0.02670,4.3385e-16,5.9645e-17,165.0,6313.5,sn1999gp-20000107.13-fast_corrected.flm
1996X,13.94,0.00680,7.2737e-15,5.2167e-16,182.3,6179.9,sn1996X-19960508.26-fast_corrected.flm
2007af,40.55,0.00540,9.7862e-16,2.4132e-17,233.7,6374.4,sn2007af-20070517.24-fast_corrected.flm
2003kc,3.18,0.03340,1.6563e-16,5.2024e-17,12.0,6303.0,sn2003kc-20031126.54-fast_corrected.flm
2001en,36.72,0.01640,2.8316e-15,7.7121e-17,237.0,6181.5,sn2001en-20011014.34-fast_corrected.flm
2007le,104.09,0.00680,1.8542e-11,1.7813e-13,261.7,6156.3,sn2007le-20071031.17-fast_corrected.flm
2003iv,11.34,0.03430,3.6784e-16,3.2432e-17,214.5,6364.5,sn2003iv-20031029.34-fast_corrected.flm
2007af,15.85,0.00540,5.4103e-16,3.4129e-17,82.3,6216.7,sn2007af-20070415.33-fast_corrected.flm
1999by,7.81,0.00220,1.0744e-15,1.3762e-16,136.5,6222.0,sn1999by-19990613.16-fast_corrected.flm
2007ca,37.95,0.01410,1.5081e-15,3.9739e-17,236.7,6214.1,sn2007ca-20070512.27-fast_corrected.flm
2005kc,2.77,0.01510,1.2608e-16,4.5519e-17,160.2,6289.5,sn2005kc-20051209.08-fast_corrected.flm
2003it,3.24,0.02510,8.2829e-17,2.5564e-17,7.5,6295.5,sn2003it-20031123.14-fast_corrected.flm
2006N,4.75,0.01430,1.9836e-15,4.1792e-16,7.4,6258.5,sn2006N-20060223.18-fast_corrected.flm
2008ar,7.23,0.02610,1.2464e-16,1.7235e-17,76.4,6306.8,sn2008ar-20080401.31-fast_corrected.flm
2007kk,8.65,0.04100,9.9886e-18,1.1551e-18,165.7,6622.7,sn2007kk-20080111.27-mmt_corrected.flm
2005na,6.32,0.02630,1.0474e-16,1.6561e-17,163.2,6288.0,sn2005na-20060122.27-fast_corrected.flm
2002do,6.43,0.01590,3.7243e-16,5.7886e-17,16.5,5893.5,sn2002do-20020704.39-fast_corrected.flm
1997dt,35.00,0.00730,2.1074e-15,6.0205e-17,252.0,6169.5,sn1997dt-19971126.14-fast_corrected.flm
2002bo,7.14,0.00430,4.5756e-16,6.4065e-17,7.5,6183.0,sn2002bo-20020421.13-fast_corrected.flm
2003it,40.26,0.02510,2.7666e-15,6.8725e-17,234.0,6273.0,sn2003it-20031028.34-fast_corrected.flm
1999by,-463.28,0.00220,-3.0246e-13,6.5286e-16,121.5,5830.2,sn1999by-19990522.14-fast_corrected.flm
2006S,19.19,0.03210,1.8350e-16,9.5602e-18,237.9,6343.6,sn2006S-20060207.43-mmt_corrected.flm
2007ca,7.00,0.01410,1.4311e-16,2.0440e-17,7.4,6234.7,sn2007ca-20070611.18-fast_corrected.flm
2005na,19.02,0.02630,5.6338e-16,2.9621e-17,223.4,6303.6,sn2005na-20060104.34-fast_corrected.flm
1994S,3.17,0.01510,9.0072e-15,2.8390e-15,16.2,6266.6,sn1994S-19940712.18-fast_corrected.flm
2007af,31.58,0.00540,1.7292e-15,5.4761e-17,194.0,6181.8,sn2007af-20070327.45-fast_corrected.flm
2003ch,71.41,0.02500,6.3332e-16,8.8683e-18,234.0,6278.0,sn2003ch-20030329.11-mmt_corrected.flm
1997do,38.79,0.01010,2.5188e-15,6.4938e-17,223.5,6160.5,sn1997do-19971125.38-fast_corrected.flm
1997bq,24.10,0.00930,1.1047e-15,4.5846e-17,224.9,6003.5,sn1997bq-19970409.15-fast_corrected.flm
2004dt,24.85,0.01940,4.6325e-15,1.8638e-16,195.5,6273.0,sn2004dt-20040911.42-fast_corrected.flm
2007af,6.84,0.00540,1.3617e-16,1.9907e-17,172.0,6393.4,sn2007af-20070710.17-fast_corrected.flm
2003kf,24.14,0.00740,1.4538e-15,6.0235e-17,208.5,6351.0,sn2003kf-20040118.25-fast_corrected.flm
2002dl,11.46,0.01630,4.0223e-16,3.5110e-17,223.5,6193.5,sn2002dl-20020620.41-fast_corrected.flm
2004at,4.43,0.02230,2.8503e-16,6.4354e-17,87.0,6306.0,sn2004at-20040427.26-fast_corrected.flm
1998es,10.85,0.01060,3.2061e-16,2.9556e-17,189.0,6382.5,sn1998es-19990116.11-fast_corrected.flm
2003fa,4.15,0.04040,1.1582e-16,2.7917e-17,112.5,6390.0,sn2003fa-20030702.29-fast_corrected.flm
1998bu,22.51,0.00290,9.2733e-15,4.1197e-16,30.0,6174.0,sn1998bu-19980620.14-fast_corrected.flm
2008bf,8.96,0.02460,8.0997e-17,9.0351e-18,249.9,6472.8,sn2008bf-20080607.19-fast_corrected.flm
1998ec,16.48,0.01990,4.4093e-16,2.6761e-17,228.0,6219.0,sn1998ec-19981015.48-fast_corrected.flm
2006N,10.92,0.01430,2.5884e-16,2.3696e-17,197.0,6221.8,sn2006N-20060206.32-fast_corrected.flm
2007co,19.08,0.02700,3.4600e-16,1.8137e-17,254.3,6295.5,sn2007co-20070617.34-fast_corrected.flm
2001bf,20.50,0.01560,2.0567e-15,1.0035e-16,238.5,6270.0,sn2001bf-20010529.37-fast_corrected.flm
1994ae,93.92,0.00430,9.8911e-15,1.0532e-16,229.3,6154.8,sn1994ae-19941208.55-fast_corrected.flm
1995E,22.69,0.01200,4.9597e-15,2.1862e-16,238.1,6194.5,sn1995E-19950226.27-fast_corrected.flm
2008ar,25.45,0.02610,1.3493e-15,5.3021e-17,223.4,6299.3,sn2008ar-20080312.36-fast_corrected.flm
2003W,3.46,0.02010,2.5342e-16,7.3235e-17,16.5,6204.0,sn2003W-20030307.28-fast_corrected.flm
2003kf,21.83,0.00740,6.1807e-16,2.8313e-17,196.5,6360.0,sn2003kf-20040216.18-fast_corrected.flm
2007kk,3.43,0.04100,6.3166e-17,1.8440e-17,10.3,6384.1,sn2007kk-20071031.34-fast_corrected.flm
2000dk,29.24,0.01750,1.5084e-15,5.1588e-17,244.5,6213.0,sn2000dk-20000921.27-fast_corrected.flm
2005am,41.09,0.00840,1.0116e-14,2.4617e-16,219.0,6158.9,sn2005am-20050314.23-fast_corrected.flm
2000cf,4.35,0.03640,4.6118e-16,1.0609e-16,138.0,6400.5,sn2000cf-20000525.35-fast_corrected.flm
1995E,20.51,0.01200,3.1833e-15,1.5525e-16,226.2,6205.8,sn1995E-19950308.16-mmt_corrected.flm
1999cl,74.17,0.00780,1.2761e-14,1.7205e-16,277.5,6104.5,sn1999cl-19990608.24-fast_corrected.flm
2002fb,4.35,0.01560,1.3935e-15,3.2055e-16,22.5,6282.0,sn2002fb-20021009.34-fast_corrected.flm
2004L,4.03,0.03230,1.0785e-16,2.6752e-17,4.5,6459.0,sn2004L-20040301.31-fast_corrected.flm
2004bg,29.03,0.02080,1.6701e-15,5.7528e-17,226.5,6274.5,sn2004bg-20040420.33-fast_corrected.flm
2002bo,73.69,0.00430,9.4814e-15,1.2867e-16,250.5,6148.5,sn2002bo-20020405.23-fast_corrected.flm
2006gt,11.47,0.04480,1.3414e-16,1.1697e-17,211.7,6394.1,sn2006gt-20060925.36-fast_corrected.flm
2004as,4.95,0.03100,1.1867e-16,2.3980e-17,36.0,6291.0,sn2004as-20040313.30-fast_corrected.flm
1997bp,21.31,0.00830,6.4685e-16,3.0349e-17,201.4,6398.9,sn1997bp-19970604.20-fast_corrected.flm
1999aa,24.89,0.01440,1.5641e-15,6.2849e-17,229.5,6222.0,sn1999aa-19990221.29-fast_corrected.flm
2005am,12.07,0.00840,4.3359e-16,3.5927e-17,197.0,6389.7,sn2005am-20050503.15-fast_corrected.flm
2003fa,3.22,0.04040,5.0901e-17,1.5802e-17,9.0,6301.5,sn2003fa-20030605.42-fast_corrected.flm
2003fa,12.07,0.04040,9.4974e-17,7.8656e-18,140.0,6398.0,sn2003fa-20030704.46-mmt_corrected.flm
2004at,36.24,0.02230,2.9111e-15,8.0322e-17,235.5,6256.5,sn2004at-20040327.33-fast_corrected.flm
1999gh,6.23,0.00770,2.3707e-16,3.8031e-17,139.5,6247.5,sn1999gh-19991229.45-fast_corrected.flm
2002ck,7.47,0.02980,2.0217e-16,2.7059e-17,138.0,6306.0,sn2002ck-20020515.29-fast_corrected.flm
1999cl,61.09,0.00780,1.0225e-14,1.6737e-16,258.0,6120.5,sn1999cl-19990610.22-fast_corrected.flm
1998aq,12.31,0.00390,3.1636e-15,2.5690e-16,270.0,6066.0,sn1998aq-19980602.23-fast_corrected.flm
2006S,22.99,0.03210,4.0141e-16,1.7462e-17,213.2,6325.2,sn2006S-20060204.47-fast_corrected.flm
1994S,25.62,0.01510,1.4736e-13,5.7521e-15,224.9,6222.6,sn1994S-19940616.24-fast_corrected.flm
2004ef,16.13,0.03100,6.1832e-16,3.8346e-17,205.8,6255.4,sn2004ef-20040911.34-fast_corrected.flm
2004L,1.85,0.03230,3.7453e-17,2.0195e-17,160.5,6355.5,sn2004L-20040217.35-fast_corrected.flm
2007af,64.15,0.00540,6.8613e-15,1.0696e-16,229.3,6151.9,sn2007af-20070312.44-fast_corrected.flm
2002G,6.93,0.03380,9.5046e-16,1.3707e-16,213.0,6312.0,sn2002G-20020120.53-fast_corrected.flm
1999gp,5.59,0.02670,2.2329e-16,3.9919e-17,19.5,6303.0,sn1999gp-20000212.11-fast_corrected.flm
1999ac,8.94,0.00950,3.0919e-16,3.4597e-17,205.5,6363.0,sn1999ac-19990507.38-fast_corrected.flm
2006ax,14.62,0.01670,5.8093e-16,3.9723e-17,232.3,6216.7,sn2006ax-20060323.31-fast_corrected.flm
1994M,14.17,0.02320,9.6920e-16,6.8422e-17,241.1,6237.8,sn1994M-19940505.17-fast_corrected.flm
2003du,50.21,0.00640,4.3331e-15,8.6307e-17,246.0,6360.0,sn2003du-20030705.28-mmt_corrected.flm
2006lf,2.89,0.01320,3.9861e-16,1.3805e-16,10.3,6282.2,sn2006lf-20061214.28-fast_corrected.flm
2007le,75.39,0.00680,1.5955e-11,2.1162e-13,258.7,6161.7,sn2007le-20071107.16-fast_corrected.flm
2002jy,18.80,0.01960,4.3816e-13,2.3304e-14,232.5,6249.0,sn2002jy-20021227.11-fast_corrected.flm
2007af,78.93,0.00540,9.8376e-15,1.2464e-16,201.4,6170.6,sn2007af-20070325.35-fast_corrected.flm
2005am,5.79,0.00840,5.1324e-16,8.8656e-17,16.2,6184.5,sn2005am-20050411.14-fast_corrected.flm
2002bo,16.41,0.00430,1.8437e-15,1.1233e-16,228.0,6163.5,sn2002bo-20020410.27-fast_corrected.flm
2000dk,3.70,0.01750,2.3504e-17,6.3494e-18,12.0,6289.0,sn2000dk-20010126.16-mmt_corrected.flm
1997bq,13.22,0.00930,5.5328e-16,4.1860e-17,236.7,6034.4,sn1997bq-19970411.13-fast_corrected.flm
1994S,24.29,0.01510,1.0025e-13,4.1264e-15,226.4,6241.3,sn1994S-19940611.28-fast_corrected.flm
1998aq,29.11,0.00390,4.7675e-15,1.6378e-16,196.5,6301.5,sn1998aq-19980702.17-fast_corrected.flm
2002jy,9.48,0.01960,1.6872e-13,1.7802e-14,144.0,6241.5,sn2002jy-20030111.08-fast_corrected.flm
